SNR,SNAME,SART,REGBEZ,KRSREST,REGBEZL,ABKZ,MBBEZ,MBABKZ,KRSL,KRSTYP
3220,Staatl. Schule für Kranke im RBZ Niederbayern Landshut,Schule für Kranke,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3221,Priv. Fachschule für Altenpflege der Parkwohnstift Arnstorf GmbH in Arnstorf,Fachschule StMUK,2,277,Niederbayern,ndb,NA,NA,LK Rottal-Inn,Landkreis
3222,Staatl. Berufsschule für Glasberufe Zwiesel,Berufsschule,2,276,Niederbayern,ndb,NA,NA,LK Regen,Landkreis
3223,Staatl. Berufsfachschule für Glas Zwiesel,Berufsfachschule,2,276,Niederbayern,ndb,NA,NA,LK Regen,Landkreis
3224,Staatl. Fachschule für Glas Zwiesel,Fachschule StMUK,2,276,Niederbayern,ndb,NA,NA,LK Regen,Landkreis
3225,Priv. Berufsfachschule für Kosmetik Alexandra Blöchl Hinterschmiding,Berufsfachschule,2,272,Niederbayern,ndb,NA,NA,LK Freyung-Grafenau,Landkreis
3226,Mathias-von-Flurl-Schule Staatl. Berufsschule II Straubing-Bogen,Berufsschule,2,263,Niederbayern,ndb,NA,NA,Stadt Straubing,Stadtkreis
3227,Private Berufsfachschule für Physiotherapie des Bayer. Roten Kreuzes Bad Abbach,Berufsfachschule Gesundheitsw.,2,273,Niederbayern,ndb,NA,NA,LK Kelheim,Landkreis
3228,"Marianne-Rosenbaum-Schule, Staatl. Berufsschule III Straubing-Bogen",Berufsschule,2,263,Niederbayern,ndb,NA,NA,Stadt Straubing,Stadtkreis
3229,Staatl. Berufsfachschule für Ernährung und Versorgung Mitterfels,Berufsfachschule,2,278,Niederbayern,ndb,NA,NA,LK Straubing-Bogen,Landkreis
3230,Fachschule für Heilerziehungspflegehilfe in Pfarrkirchen des KWA Kuratorium Wohnen im Alter,Fachschule StMUK,2,277,Niederbayern,ndb,NA,NA,LK Rottal-Inn,Landkreis
3231,Berufsfachschule für Physiotherapie am DONAUISAR Klinikum Deggendorf,Berufsfachschule Gesundheitsw.,2,271,Niederbayern,ndb,NA,NA,LK Deggendorf,Landkreis
3232,Private Berufsfachschule für Pflege Kelheim der Döpfer Schulen Regensburg GmbH,Berufsfachschule Gesundheitsw.,2,273,Niederbayern,ndb,NA,NA,LK Kelheim,Landkreis
3233,Berufsfachschule f. Masseure u. medizin. Bademeister d. Johannesbad Akademie in Bad Füssing,Berufsfachschule Gesundheitsw.,2,275,Niederbayern,ndb,NA,NA,LK Passau,Landkreis
3234,Berufsfachschule für pharm.-techn. Assistenten in Passau - staatl. anerkannt,Berufsfachschule Gesundheitsw.,2,262,Niederbayern,ndb,NA,NA,Stadt Passau,Stadtkreis
3235,Berufsfachschule für Krankenpflege am DONAUISAR Klinikum Deggendorf,Berufsfachschule Gesundheitsw.,2,271,Niederbayern,ndb,NA,NA,LK Deggendorf,Landkreis
3236,Berufsfachschule für Krankenpflege am Kreiskrankenhaus Eggenfelden,Berufsfachschule Gesundheitsw.,2,277,Niederbayern,ndb,NA,NA,LK Rottal-Inn,Landkreis
3237,"Berufsfachschule f. Krankenpflege Mainb. d.Inst.f. Aus-,Fort- u. Weiterbild. im Gesundheitswesen e.V.",Berufsfachschule Gesundheitsw.,2,273,Niederbayern,ndb,NA,NA,LK Kelheim,Landkreis
3238,Priv. Berufsfachschule für Krankenpflege der Klinikum Landshut gGmbH in Landshut,Berufsfachschule Gesundheitsw.,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3239,Berufsfachschule f. Kinderkrankenpflege St. Marien in Vilsbiburg d.Kinderkrankenh. St. Marien gGmbH,Berufsfachschule Gesundheitsw.,2,274,Niederbayern,ndb,NA,NA,LK Landshut,Landkreis
3240,Berufsfachschule f. Krankenpflege a.Kreiskrankenh. Mallersdorf d. Lkr. Straubing-Bogen,Berufsfachschule Gesundheitsw.,2,278,Niederbayern,ndb,NA,NA,LK Straubing-Bogen,Landkreis
3241,Berufsfachschule für Krankenpflege Mainkofen am Bezirkskrankenhaus des Bezirks Niederbayern,Berufsfachschule Gesundheitsw.,2,271,Niederbayern,ndb,NA,NA,LK Deggendorf,Landkreis
3242,"Grundschule München, Emmy-Noether-Str.",Grundsch.sow.Mittelschule,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3243,Berufsfachschule für Krankenpflege der Stadt Passau am Klinikum Passau,Berufsfachschule Gesundheitsw.,2,262,Niederbayern,ndb,NA,NA,Stadt Passau,Stadtkreis
3244,Berufsfachschule für Massage Plattl. d.Dt.Erwachsenen-Bildungs werk  gemeinn.  GmbH,Berufsfachschule Gesundheitsw.,2,271,Niederbayern,ndb,NA,NA,LK Deggendorf,Landkreis
3245,Berufsfachschule für Kinderkrankenpflege der Kliniken Dritter Orden gGmbH Passau,Berufsfachschule Gesundheitsw.,2,262,Niederbayern,ndb,NA,NA,Stadt Passau,Stadtkreis
3246,Berufsfachschule für Krankenpflege am Kreiskrankenhaus Pfarrkirchen,Berufsfachschule Gesundheitsw.,2,277,Niederbayern,ndb,NA,NA,LK Rottal-Inn,Landkreis
3247,Städt. Fachakademie für Sozialpädagogik München Mitte,Fachakademie StMUK,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3248,Berufsfachschule für Krankenpflege der Rottal-Inn Kliniken Kommunalunternehmen in Eggenfelden,Berufsfachschule Gesundheitsw.,2,277,Niederbayern,ndb,NA,NA,LK Rottal-Inn,Landkreis
3249,Priv. Berufsfachschule für Krankenpflege am Klinikum St. Elisabeth Straubing,Berufsfachschule Gesundheitsw.,2,263,Niederbayern,ndb,NA,NA,Stadt Straubing,Stadtkreis
3250,Berufsfachschule für Krankenpflege Vilsbiburg am Kreiskrankenhaus,Berufsfachschule Gesundheitsw.,2,274,Niederbayern,ndb,NA,NA,LK Landshut,Landkreis
3251,Städtische Berufsschule für Fachinformatik Systemintegration,Berufsschule,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3252,"kbo-Fachschule für Heilerziehungspflege, Kliniken des Bezirks Oberbayern, Haar",Fachschule StMUK,1,184,Oberbayern,obb,NA,NA,LK München,Landkreis
3253,Private Fachschule für Heilerziehungspflege in Abensberg,Fachschule StMUK,2,273,Niederbayern,ndb,NA,NA,LK Kelheim,Landkreis
3254,Priv. Fachschule für Altenpflege des Kuratorium Wohnen im Alter gemeinn.AG Bad Griesbach im Rottal,Fachschule StMUK,2,275,Niederbayern,ndb,NA,NA,LK Passau,Landkreis
3255,Berufsfachschule für Pflege Pfaffenhofen der Gemeinnützigen Gesellschaft für soziale Dienste-DAA-mbH,Berufsfachschule Gesundheitsw.,1,186,Oberbayern,obb,NA,NA,LK Pfaffenhofen a.d. Ilm,Landkreis
3256,Städtische Wirtschaftsschule Eggenfelden,Wirtschaftsschule,2,277,Niederbayern,ndb,NA,NA,LK Rottal-Inn,Landkreis
3257,Berufsfachschule für Med.-Techn. Radiologieassistenten/innen Rosenheim,Berufsfachschule Gesundheitsw.,1,163,Oberbayern,obb,NA,NA,Stadt Rosenheim,Stadtkreis
3258,Priv. Berufsfachschule für Massage der VPT Berufsfachschule GmbH in Bad Birnbach,Berufsfachschule Gesundheitsw.,2,277,Niederbayern,ndb,NA,NA,LK Rottal-Inn,Landkreis
3259,Sonderpädagogisches Förderzentrum Landshut-Stadt,Förderzentrum,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3260,Priv. Berufsfachschule für Krankenpflege in Rotthalmünster,Berufsfachschule Gesundheitsw.,2,275,Niederbayern,ndb,NA,NA,LK Passau,Landkreis
3261,Fachschule für  Wirtschaftsinformatik Plattling des Landkreises Deggendorf,Fachschule StMUK,2,271,Niederbayern,ndb,NA,NA,LK Deggendorf,Landkreis
3262,"Berufsfachschule f.informations- u.telekomm.techn. Berufe d.Lkr.Deggendorf,Plattling",Berufsfachschule,2,271,Niederbayern,ndb,NA,NA,LK Deggendorf,Landkreis
3263,Cabrini-Schule Offenstetten Private Berufsschule für Lernbehinderte,Berufsschule z. sp. F.,2,273,Niederbayern,ndb,NA,NA,LK Kelheim,Landkreis
3264,Berufsfachschule für Physiotherapie der PhysioFRG gGmbH in Freyung,Berufsfachschule Gesundheitsw.,2,272,Niederbayern,ndb,NA,NA,LK Freyung-Grafenau,Landkreis
3265,Staatl. anerkannte Berufsfachschule für Fremdsprachenberufe  Deggendorf GmbH,Berufsfachschule,2,271,Niederbayern,ndb,NA,NA,LK Deggendorf,Landkreis
3266,Staatl.Fachschule (Technikerschule) für Bau- und Glasbautechnik Vilshofen a.d.Donau,Fachschule StMUK,2,275,Niederbayern,ndb,NA,NA,LK Passau,Landkreis
3267,Priv. Berufsfachschule für Sozialpflege des Maria-Ward-Instituts Osterhofen,Berufsfachschule,2,271,Niederbayern,ndb,NA,NA,LK Deggendorf,Landkreis
3268,Staatl. Berufsfachschule für Sozialpflege Straubing,Berufsfachschule,2,263,Niederbayern,ndb,NA,NA,Stadt Straubing,Stadtkreis
3269,"Priv.Berufsfachschule f.Krankenpflegehilfe Mainb. d.Instit.f.Aus-,Fort-u.Weiterbild.im Gesundheitsw.",Berufsfachschule Gesundheitsw.,2,273,Niederbayern,ndb,NA,NA,LK Kelheim,Landkreis
3270,"Berufsfachschule für Altenpflege des Caritasverbandes für die Diözese Passau e.V., Zwiesel",Berufsfachschule Gesundheitsw.,2,276,Niederbayern,ndb,NA,NA,LK Regen,Landkreis
3271,Priv.Berufsfachschule f.Altenpflege der Parkwohnstift Arnstorf GmbH in Arnstorf,Berufsfachschule Gesundheitsw.,2,277,Niederbayern,ndb,NA,NA,LK Rottal-Inn,Landkreis
3272,Staatl. Fachschule (Technikerschule) für Maschinenbautechnik in Landshut,Fachschule StMUK,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3273,Berufsfachschule f. Diätassistenten Vilsh. d.Dt.Erwachsenen-Bildungswerk gemeinn. GmbH,Berufsfachschule Gesundheitsw.,2,275,Niederbayern,ndb,NA,NA,LK Passau,Landkreis
3274,Private Berufsfachschule für Fremdsprachenberufe der Volkshochschule Landshut e.V.,Berufsfachschule,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3275,Berufsfachschule für Altenpflege der Pflegeschulen St. Augustinus GmbH Obernzell,Berufsfachschule Gesundheitsw.,2,275,Niederbayern,ndb,NA,NA,LK Passau,Landkreis
3276,Private Fachschule für Altenpflege des Mädchenwerks Zwiesel e.V.,Fachschule StMUK,2,276,Niederbayern,ndb,NA,NA,LK Regen,Landkreis
3277,Fachschule für Altenpflege Plattling des Bayerischen Roten Kreuzes,Fachschule StMUK,2,271,Niederbayern,ndb,NA,NA,LK Deggendorf,Landkreis
3278,Priv. Berufsfachschule f. Kinderpflege des Maria-Ward-Institutes Osterhofen,Berufsfachschule,2,271,Niederbayern,ndb,NA,NA,LK Deggendorf,Landkreis
3279,"Johannes-Grande-Schule, Fachschule für Heilerziehungspflegehilfe d. B.B.B. gGmbH Straubing",Fachschule StMUK,2,263,Niederbayern,ndb,NA,NA,Stadt Straubing,Stadtkreis
3280,Staatl. Berufsfachschule für Metalltechnik in Deggendorf,Berufsfachschule,2,271,Niederbayern,ndb,NA,NA,LK Deggendorf,Landkreis
3281,"Priv. Berufsfachschule für Rettungsassistenten H. Döpfer, Gäubodenkaserne, Feldkirchen",Berufsfachschule Gesundheitsw.,2,278,Niederbayern,ndb,NA,NA,LK Straubing-Bogen,Landkreis
3282,Fachakademie für Wirtschaft II. der Mittelstandsakademie Bayern gUG München,Fachakademie StMUK,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3283,Berufsfachschule f.Altenpflegehilfe der Pflegeschulen St. Augustinus GmbH Obernzell,Berufsfachschule Gesundheitsw.,2,275,Niederbayern,ndb,NA,NA,LK Passau,Landkreis
3284,Private Berufsfachschule für kaufmännische Assistenten der Volkshochschule Landshut e.V.,Berufsfachschule,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3285,"Private sechsstufige Wirtschaftsschule Dr. Kalscheuer der Privatschulen Dr. Kalscheuer gGmbH, Rosenheim",Wirtschaftsschule,1,163,Oberbayern,obb,NA,NA,Stadt Rosenheim,Stadtkreis
3286,"Private Berufsfachschule für Sportkaufleute, Vertiefung Fußball, der Macromedia Akademie GmbH in München",Berufsfachschule,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3287,Berufsfachschule f. Physiotherapie d.Bildungszentr.f.Gesundheitsberufe Bad Gögging,Berufsfachschule Gesundheitsw.,2,273,Niederbayern,ndb,NA,NA,LK Kelheim,Landkreis
3288,Fachschule für Datenverarbeitung Passau des Zweckverbandes der Volkshochschulen im Lkr. Passau,Fachschule StMUK,2,262,Niederbayern,ndb,NA,NA,Stadt Passau,Stadtkreis
3289,Komm. Fachschule für Floristik (Meisterschule) des Berufsschulverbandes Straubing-Bogen in Straubing,Fachschule StMUK,2,263,Niederbayern,ndb,NA,NA,Stadt Straubing,Stadtkreis
3290,Private Berufsfachschule für Game Design der Macromedia Akademie GmbH in München,Berufsfachschule,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3291,Staatliche Berufsfachschule für Kinderpflege München-Land,Berufsfachschule,1,184,Oberbayern,obb,NA,NA,LK München,Landkreis
3292,Staatliche Berufsfachschule für Kinderpflege Erding,Berufsfachschule,1,177,Oberbayern,obb,NA,NA,LK Erding,Landkreis
3293,Staatl. Grundschule München Hermine-von-Parish-Str. 15,Grundsch.sow.Mittelschule,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3294,Staatliche Berufsfachschule für Sozialpflege Vilshofen an der Donau,Berufsfachschule,2,275,Niederbayern,ndb,NA,NA,LK Passau,Landkreis
3295,Staatl. Grundschule München Infanteriestr. 25,Grundsch.sow.Mittelschule,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3296,"St.-Josef-Schule, Kath. Freie Grundschule des Schulwerks der Diözese Augsburg",Grundsch.sow.Mittelschule,7,778,Schwaben,sch,NA,NA,LK Unterallgäu,Landkreis
3297,Staatl. Grundschule München Theodor-Fischer-Str. 73,Grundsch.sow.Mittelschule,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3298,Staatliche Berufsfachschule für Kinderpflege Kelheim,Berufsfachschule,2,273,Niederbayern,ndb,NA,NA,LK Kelheim,Landkreis
3299,Staatliche Fachschule für Heilerziehungspflege Traunstein,Fachschule StMUK,1,189,Oberbayern,obb,NA,NA,LK Traunstein,Landkreis
3300,Förderzentrum mit Schwerpunkt geistige Entwicklung München-Ost a. d. Fehwiesenstr.,Förderzentrum,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3301,Staatliche Berufsfachschule für Kinderpflege Dachau,Berufsfachschule,1,174,Oberbayern,obb,NA,NA,LK Dachau,Landkreis
3302,Priv. Berufsfachschule für Mediengestalter Bild und Ton der MIB Akademie in Grünwald,Berufsfachschule,1,184,Oberbayern,obb,NA,NA,LK München,Landkreis
3303,Montessori Fachoberschule Geisenhausen,Fachoberschule,2,274,Niederbayern,ndb,NA,MB FOS/BOS Ost,LK Landshut,Landkreis
3304,Priv. Berufsfachschule für Physiotherapie der Pschick Group Schulen gem. GmbH Rosenheim,Berufsfachschule Gesundheitsw.,1,163,Oberbayern,obb,NA,NA,Stadt Rosenheim,Stadtkreis
3305,"Campus di Monaco, private Internationale Montessori-Grundschule München",Grundsch.sow.Mittelschule,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3306,"Grundschule München, Aubinger Allee 152",Grundsch.sow.Mittelschule,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3307,KWA Kuratorium Wohnen im Alter gAG Berufsfachschule für Altenpflegehilfe in München,Berufsfachschule Gesundheitsw.,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3308,BFS f.Anästhesietech. Assistent/innen sow. Operationstechn. Assistent/innen München,Berufsfachschule Gesundheitsw.,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3309,Berufsfachschule für anästhesietech.und operationstechn. Assistent/innen Ingolstadt,Berufsfachschule Gesundheitsw.,1,161,Oberbayern,obb,NA,NA,Stadt Ingolstadt,Stadtkreis
3310,BFS für Anästhesietech. Assistent/innen sowie Operationstechn. Assistent/innen München,Berufsfachschule Gesundheitsw.,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3311,Berufsfachschule f.Operations- u.Anästhesietechnische Assistent/innen Gilching des IB e.V.,Berufsfachschule Gesundheitsw.,1,188,Oberbayern,obb,NA,NA,LK Starnberg,Landkreis
3312,BFS für Anästhesietech. Assistent/innen sowie Operationstechn. Assistent/innen Rosenheim,Berufsfachschule Gesundheitsw.,1,163,Oberbayern,obb,NA,NA,Stadt Rosenheim,Stadtkreis
3313,KWA Kuratorium Wohnen im Alter gAG Berufsfachschule für Pflege in München,Berufsfachschule Gesundheitsw.,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3314,BFS für Anästhesietech. Assistent/innen sowie Operationstechn. Assistent/innen Traunstein,Berufsfachschule Gesundheitsw.,1,189,Oberbayern,obb,NA,NA,LK Traunstein,Landkreis
3315,BFS für Anästhesietech. Assistent/innen so.Operationstechn. Assistent/innen der TU München,Berufsfachschule Gesundheitsw.,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3316,Staatliche Berufsfachschule für Kinderpflege Ebersberg,Berufsfachschule,1,175,Oberbayern,obb,NA,NA,LK Ebersberg,Landkreis
3317,"Grundschule Fürstenfeldbruck, an der Richard-Higgins-Straße",Grundsch.sow.Mittelschule,1,179,Oberbayern,obb,NA,NA,LK Fürstenfeldbruck,Landkreis
3318,Staatl. Berufsfachschule für Kinderpflege Pfaffenhofen a.d.Ilm,Berufsfachschule,1,186,Oberbayern,obb,NA,NA,LK Pfaffenhofen a.d. Ilm,Landkreis
3319,Staatl. Fachakademie für Sozialpädagogik Landshut-Schönbrunn,Fachakademie StMUK,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3320,"Mathilde-Eller-Schule 2 Klenzestraße, Förderzentrum mit Schwerpunkt geistige Entwicklung",Förderzentrum,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3321,Staatliche Berufsfachschule für Kinderpflege Rosenheim,Berufsfachschule,1,163,Oberbayern,obb,NA,NA,Stadt Rosenheim,Stadtkreis
3322,Staatliche Berufsfachschule für Kinderpflege Eichstätt,Berufsfachschule,1,176,Oberbayern,obb,NA,NA,LK Eichstätt,Landkreis
3323,Staatliche Berufsfachschule für Kinderpflege Garmisch-Partenkirchen,Berufsfachschule,1,180,Oberbayern,obb,NA,NA,LK Garmisch-Partenkirchen,Landkreis
3324,Berufsfachschule f. Altenpflegehilfe d.Berufl. Fortbildungszentren (bfz) in Rosenheim,Berufsfachschule Gesundheitsw.,1,163,Oberbayern,obb,NA,NA,Stadt Rosenheim,Stadtkreis
3325,"Berufsfachschule f.Krankenpflegehilfe d.Kliniken d.Stadt u.d.Lkr. Rosenheim GmbH, Wasserburg am Inn",Berufsfachschule Gesundheitsw.,1,187,Oberbayern,obb,NA,NA,LK Rosenheim,Landkreis
3326,Komm. BFS f.Anästhesietech. Assistent/innen sow.Operationstechn.Assistent/innen Vilsbiburg,Berufsfachschule Gesundheitsw.,2,274,Niederbayern,ndb,NA,NA,LK Landshut,Landkreis
3327,Berufsfachschule für Pflege der Benedictus Krankenhaus Tutzing GmbH & Co. KG,Berufsfachschule Gesundheitsw.,1,188,Oberbayern,obb,NA,NA,LK Starnberg,Landkreis
3328,Berufsfachschule für Krankenpflegehilfe der Benedictus Krankenhaus Tutzing GmbH & Co. KG,Berufsfachschule Gesundheitsw.,1,188,Oberbayern,obb,NA,NA,LK Starnberg,Landkreis
3329,Berufsfachschule für Medizinische Technologie Radiologie Rosenheim,Berufsfachschule Gesundheitsw.,1,163,Oberbayern,obb,NA,NA,Stadt Rosenheim,Stadtkreis
3330,Berufsfachschule für Medizinische Technologie für Radiologie des Krankenhauszweckverbands Ingolstadt am Klinikum,Berufsfachschule Gesundheitsw.,1,161,Oberbayern,obb,NA,NA,Stadt Ingolstadt,Stadtkreis
3331,Berufsfachschule für Pflege der Berufl. Fortbildungszentren (bfz) in Rosenheim,Berufsfachschule Gesundheitsw.,1,163,Oberbayern,obb,NA,NA,Stadt Rosenheim,Stadtkreis
3332,Münchner Rotkreuz Akademie Berufsfachschule für Pflege des BRK Kreisverband München,Berufsfachschule Gesundheitsw.,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3333,Private Fachschule für Heilerziehungspflegehilfe in Abensberg,Fachschule StMUK,2,273,Niederbayern,ndb,NA,NA,LK Kelheim,Landkreis
3334,Staatliche Fachakademie für Sozialpädagogik München-Land Feldkirchen,Fachakademie StMUK,1,184,Oberbayern,obb,NA,NA,LK München,Landkreis
3335,Staatl. Berufsfachschule für Medizinische Technologie für Laboratoriumsanalytik München,Berufsfachschule Gesundheitsw.,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3336,Staatl.Berufsfachschule f.Medizinische Technologie f.Radiologie a.Klinikum d.Univ. München,Berufsfachschule Gesundheitsw.,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3337,Staatl. Berufsfachschule für Medizinische Technologie für Veterinärmedizin Oberschleißheim,Berufsfachschule Gesundheitsw.,1,184,Oberbayern,obb,NA,NA,LK München,Landkreis
3338,Priv.Fachschule f.Heilerziehungspflege d.Caritasverb.f.d.Stadt u.d.Landkreis Landshut e.V.,Fachschule StMUK,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3339,Priv.Fachschule f.Heilerziehungspflegehilfe d.Caritasverb.f.d.Stadt u.d.Lkr. Landshut e.V.,Fachschule StMUK,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3340,Staatl. Berufsfachschule für Kinderpflege Landau a.d.Isar,Berufsfachschule,2,279,Niederbayern,ndb,NA,NA,LK Dingolfing-Landau,Landkreis
3341,Berufsfachschule für Krankenpflegehilfe am Klinikum St. Elisabeth Straubing,Berufsfachschule Gesundheitsw.,2,263,Niederbayern,ndb,NA,NA,Stadt Straubing,Stadtkreis
3342,Staatl. Fachakademie für Sozialpädagogik am Beruflichen Schulzentrum BGL Freilassing,Fachakademie StMUK,1,172,Oberbayern,obb,NA,NA,LK Berchtesgadener Land,Landkreis
3343,Staatl. Fachakademie f. Sozialpädagogik Berufl. Schulzentrum Dachau Nikolaus-Lehner-Schulen,Fachakademie StMUK,1,174,Oberbayern,obb,NA,NA,LK Dachau,Landkreis
3344,Private Berufsfachschule für Ergotherapie der Ludwig Fresenius Schulen gem. GmbH München,Berufsfachschule Gesundheitsw.,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
3345,Berufsfachschule für Krankenpflegehilfe am Klinikum Passau,Berufsfachschule Gesundheitsw.,2,262,Niederbayern,ndb,NA,NA,Stadt Passau,Stadtkreis
3346,Berufsfachschule f.Altenpflegehilfe d.Caritasverb. d.Erzdiöz. M u. FS in Garmisch-Partenk.,Berufsfachschule Gesundheitsw.,1,180,Oberbayern,obb,NA,NA,LK Garmisch-Partenkirchen,Landkreis
3347,"Staatliche Fachakademie für Sozialpädagogik in Erding, Dr.-Herbert-Weinberger-Schule",Fachakademie StMUK,1,177,Oberbayern,obb,NA,NA,LK Erding,Landkreis
3348,Städtische Nelson-Mandela- Berufliche Oberschule Wirtschaft  in München (Berufsoberschule),Fachoberschule,1,162,Oberbayern,obb,NA,MB FOS/BOS Süd,Stadt München,Stadtkreis
3349,DUMMY,Fachakademie StMUK,2,263,Niederbayern,ndb,NA,NA,Stadt Straubing,Stadtkreis
3350,"Johannes-Grande-Schule, Fachschule für Heilerziehungspflege d. B.B.B. gGmbH Straubing",Fachschule StMUK,2,263,Niederbayern,ndb,NA,NA,Stadt Straubing,Stadtkreis
3351,Berufsfachschule für Altenpflegehilfe Erding der Schwesternschaft München vom BRK e.V.,Berufsfachschule Gesundheitsw.,1,177,Oberbayern,obb,NA,NA,LK Erding,Landkreis
3352,Kom. Berufsfachschule f. Pflege d. Kreiskliniken Bogen-Mallersdorf in Mallersdorf-Pfaffen.,Berufsfachschule Gesundheitsw.,2,278,Niederbayern,ndb,NA,NA,LK Straubing-Bogen,Landkreis
3383,"Adolph-Kolping-Schule, Berufsschule zur sonderpäd. Förderung, Förderschwerpunkt Lernen in Regen",Berufsschule z. sp. F.,2,276,Niederbayern,ndb,NA,NA,LK Regen,Landkreis
3392,Berufsfachschule für Kinderpflege des Caritasverbandes für die Diözese Passau e.V.. Zwiesel,Berufsfachschule,2,276,Niederbayern,ndb,NA,NA,LK Regen,Landkreis
3393,"Private Berufsschule zur sonderpäd. Förderung, Förderschwerpunkt Lernen in Freyung",Berufsschule z. sp. F.,2,272,Niederbayern,ndb,NA,NA,LK Freyung-Grafenau,Landkreis
3497,Komm. Berufsfachschule f. Elektrotechnik Straubing Schwerpunkt Datenverarbeitungstechnik,Berufsfachschule,2,263,Niederbayern,ndb,NA,NA,Stadt Straubing,Stadtkreis
3498,Berufsfachschule für Physiotherapie der Akademie für Gesundheitsberufe gGmbH in Rotthalmünster,Berufsfachschule Gesundheitsw.,2,275,Niederbayern,ndb,NA,NA,LK Passau,Landkreis
3500,Grundschule Landshut-Berg,Grundschule,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3501,Grundschule Karl-Heiß Landshut,Grundschule,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3502,St.-Martin-Volksschule Landshut (Hauptschule),Grundsch.sow.Mittelschule,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3503,Grundschule St. Nikola  Landshut,Grundschule,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3504,St. Nikola Mittelschule Landshut,Mittelschule,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3505,Grundschule St. Peter und Paul  Landshut,Grundschule,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3506,Grundschule St. Wolfgang Landshut,Grundschule,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3507,St.-Wolfgang-Volksschule Landshut (Grundschule für Mädchen),Grundsch.sow.Mittelschule,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3508,St. Wolfgang Mittelschule Landshut,Mittelschule,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3509,Grundschule Lalling,Grundschule,2,271,Niederbayern,ndb,NA,NA,LK Deggendorf,Landkreis
3510,Ursulinen-Volksschule Landshut (Grundschule),Grundsch.sow.Mittelschule,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3511,Grundschule Carl-Orff  Landshut,Grundschule,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3512,Mittelschule Landshut-Schönbrunn,Mittelschule,2,261,Niederbayern,ndb,NA,NA,Stadt Landshut,Stadtkreis
3513,"Montessori-Schule Rotthalmünster, Priv.Grund- und Hauptschule d. Mont.Fördergem. Rotthalmünster e.V.",Grundschule,2,275,Niederbayern,ndb,NA,NA,LK Passau,Landkreis
3513,"Montessori-Schule Rotthalmünster, Priv.Grund- und Hauptschule d. Mont.Fördergem. Rotthalmünster e.V.",Mittelschule,2,275,Niederbayern,ndb,NA,NA,LK Passau,Landkreis
3514,Grundschule Winzer,Grundschule,2,271,Niederbayern,ndb,NA,NA,LK Deggendorf,Landkreis
