SNR,SNAME,SART,REGBEZ,KRSREST,REGBEZL,ABKZ,MBBEZ,MBABKZ,KRSL,KRSTYP
0045,CJD Christophorusschulen Berchtesgaden - Gymnasium d.CJD in Schönau am Königssee,Gymnasium,1,172,Oberbayern,obb,MB für die Gymnasien in Oberbayern-Ost Maria-Theresia-Gymnasium München,MB GYM Obb-O,LK Berchtesgadener Land,Landkreis
0046,Gymnasium Burgkunstadt,Gymnasium,4,478,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,LK Lichtenfels,Landkreis
0047,Staatl. Gymnasium Lappersdorf,Gymnasium,3,375,Oberpfalz,opf,MB für die Gymnasien in der Oberpfalz Albertus-Magnus-Gymnasium Regensburg,MB GYM Opf,LK Regensburg,Landkreis
0048,Kurfürst-Maximilian-Gymnasium Burghausen,Gymnasium,1,171,Oberbayern,obb,MB für die Gymnasien in Oberbayern-Ost Maria-Theresia-Gymnasium München,MB GYM Obb-O,LK Altötting,Landkreis
0049,Aventinus-Gymnasium Burghausen,Gymnasium,1,171,Oberbayern,obb,MB für die Gymnasien in Oberbayern-Ost Maria-Theresia-Gymnasium München,MB GYM Obb-O,LK Altötting,Landkreis
0050,Johann-Michael-Fischer-Gymnasium Burglengenfeld,Gymnasium,3,376,Oberpfalz,opf,MB für die Gymnasien in der Oberpfalz Albertus-Magnus-Gymnasium Regensburg,MB GYM Opf,LK Schwandorf,Landkreis
0051,Marianum Buxheim Gymnasium des Schulwerks der Diözese Augsburg,Gymnasium,7,778,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,LK Unterallgäu,Landkreis
0052,Robert-Schuman-Gymnasium Cham,Gymnasium,3,372,Oberpfalz,opf,MB für die Gymnasien in der Oberpfalz Albertus-Magnus-Gymnasium Regensburg,MB GYM Opf,LK Cham,Landkreis
0053,Joseph-von-Fraunhofer-Gymnasium Cham,Gymnasium,3,372,Oberpfalz,opf,MB für die Gymnasien in der Oberpfalz Albertus-Magnus-Gymnasium Regensburg,MB GYM Opf,LK Cham,Landkreis
0054,Gymnasium Casimirianum Coburg,Gymnasium,4,463,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Coburg,Stadtkreis
0055,Gymnasium Ernestinum Coburg,Gymnasium,4,463,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Coburg,Stadtkreis
0056,Gymnasium Alexandrinum Coburg,Gymnasium,4,463,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Coburg,Stadtkreis
0057,Gymnasium Albertinum Coburg,Gymnasium,4,463,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Coburg,Stadtkreis
0058,Josef-Effner-Gymnasium Dachau,Gymnasium,1,174,Oberbayern,obb,MB für die Gymnasien in Oberbayern-West in München Klenze-Gymnasium München,MB GYM Obb-W,LK Dachau,Landkreis
0059,Comenius-Gymnasium Deggendorf,Gymnasium,2,271,Niederbayern,ndb,MB für die Gymnasien in Niederbayern Hans-Leinberger-Gymnasium Landshut,MB GYM Ndb,LK Deggendorf,Landkreis
0060,Johann-Michael-Sailer-Gymnasium Dillingen,Gymnasium,7,773,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,LK Dillingen a.d. Donau,Landkreis
0061,St.-Bonaventura-Gymnasium Dillingen des Schulwerks der Diözese Augsburg,Gymnasium,7,773,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,LK Dillingen a.d. Donau,Landkreis
0062,Gymnasium Dingolfing,Gymnasium,2,279,Niederbayern,ndb,MB für die Gymnasien in Niederbayern Hans-Leinberger-Gymnasium Landshut,MB GYM Ndb,LK Dingolfing-Landau,Landkreis
0063,Gymnasium Dinkelsbühl,Gymnasium,5,571,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,LK Ansbach,Landkreis
0064,Gymnasium Donauwörth,Gymnasium,7,779,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,LK Donau-Ries,Landkreis
