report,vars,plot,label,label_short,sets,type
rpt_all_p1,A635W245a,A63b,Wir nutzen digitale Medien zur Suche von Informationen.,Wir nutzen digitale Medien zur Suche von Informationen.,set01,sus
ms_p2,A131W121,W12,NA,"Die Lehrkraft bleibt geduldig, wenn sie mir etwas erklärt.",set01,sus
rpt_all_fb_p1,A635W245b,A63b,Wir arbeiten online mit anderen Schülerinnen und Schülern zusammen.,Wir arbeiten online mit anderen SuS zusammen.,set01,sus
gs_p2,A134W122,W12,NA,"Ich traue mich, im Unterricht Fragen zu stellen, wenn ich etwas nicht verstehe.",set01,sus
rpt_sus_gs_p1,B131W124,B13,"<p><span style=""font-size:28px;""><b><span style=""line-height:115%;""><span style=""font-family:Calibri, sans-serif;"">In den Pausen bin ich mit meinen Freundinnen oder Freunden zusammen.</span></span></b></span></p>",In den Pausen bin ich mit meinen Freundinnen oder Freunden zusammen.,set01,sus
gs_p4,A515W143c,W14,NA,"Leistungsstarken SuS gebe ich Zusatzaufgaben, durch die sie wirklich gefordert werden.",set01,leh
rpt_sus_gm_p2,A133A,A13,In diesem Unterricht fühle ich mich wohl.,MS_In diesem Unterricht fühle ich mich wohl.,set01,sus
rpt_sus_bq_p1,A131W121m,W12,NA,"Die Lehrkraft bleibt geduldig, wenn sie mir etwas erklärt.",set01,sus
rpt_sus_fb_p1,A131W121m,W12,NA,"Die Lehrkraft bleibt geduldig, wenn sie mir etwas erklärt.",set01,sus
ms_p2,A131W121,A13,"Die Lehrkraft bleibt geduldig, wenn sie mir etwas erklärt.","Die Lehrkraft bleibt geduldig, wenn sie mir etwas erklärt.",set01,sus
rpt_all_fz_p2,A121m,A12,"<span style=""font-size:28px;""><b><span style=""line-height:115%;""><span style=""font-family:Calibri, sans-serif;"">Wenn wir in der Klasse an Aufgaben arbeiten, dann machen alle gut mit (7-10).  </span></span></b></span>","MS_Wenn wir in der Klasse an Aufgaben arbeiten, dann machen alle gut mit.",set01,sus
rpt_sus_p2,A131W121m,A13,"Die Lehrkraft bleibt geduldig, wenn sie mir etwas erklärt.","Die Lehrkraft bleibt geduldig, wenn sie mir etwas erklärt.",set01,sus
rpt_leh_bq_p1,A526W255b,W25,NA,Nutze digitale Möglichk. f. individualisierte Rückmeldungen an die SuS,set01,leh
rpt_sus_fz_p1,A131W121m,W12,NA,MS_Die Lehrkraft erklärt im Unterricht alles geduldig.,set01,sus
rpt_all_fb_p1,C131,C13,Wir haben eine Art Einführungsprogramm für neue Lehrkräfte.,Wir haben eine Art Einführungsprogramm für neue Lehrkräfte.,set01,leh
rpt_all_bq_p1,A635W245b,A63b,Wir arbeiten online mit anderen Schülerinnen und Schülern zusammen.,Wir arbeiten online mit anderen SuS zusammen.,set01,sus
rpt_sus_gm_p2,A133B,A13,Meine Lehrerin/mein Lehrer behandelt mich fair.,MS_Die Lehrkraft behandelt mich fair.,set01,sus
rpt_sus_gm_p1,A131W121m,W12,NA,"MS_Die Lehrkraft bleibt geduldig, wenn sie mir etwas erklärt.",set01,sus
rpt_sus_p2,A131W121m,W12,NA,"Die Lehrkraft bleibt geduldig, wenn sie mir etwas erklärt.",set01,sus
gs_p2,A213,A21,"<span style=""font-size:28px;""><b><span style=""line-height:115%;""><span style=""font-family:Calibri, sans-serif;"">Wenn ich eine Aufgabe bekomme, weiß ich genau, was ich tun soll.</span></span></b></span>","Wenn ich eine Aufgabe bekomme, weiß ich genau, was ich tun soll.",set01,sus
gm_p2,A515W143,A51,Wir Schülerinnen und Schüler bekommen manchmal unterschiedlich schwere Aufgaben.,MS_Wir bekommen manchmal unterschiedlich schwere Aufgaben.,set01,sus
rpt_all_bq_p5,A635W245b,A63b,Wir arbeiten online mit anderen Schülerinnen und Schülern zusammen.,Wir arbeiten online mit anderen SuS zusammen.,set01,sus
gm_p1,A635W245b,A63b,Wir arbeiten online mit anderen Schülerinnen und Schülern zusammen.,MS_Wir arbeiten online mit anderen SuS zusammen.,set01,sus
gm_p2,B221b,B22,An unserer Schule finden regelmäßig Veranstaltungen mit außerschulischen Fachleuten statt.,Es finden regelmäßig Veranstaltungen mit außerschulischen Fachleuten statt.,set01,leh
gm_p3,A635W245b,A63b,MS_Wir arbeiten online mit anderen SuS zusammen.,MS_Wir arbeiten online mit anderen SuS zusammen.,set01,sus
rpt_sus_fz_p2,A133m,A13,"<span style=""font-size:28px;""><b><span style=""line-height:115%;""><span style=""font-family:Calibri, sans-serif;"">Meine Klassenlehrerin oder mein Klassenlehrer ist fair und gerecht zu mir. (7-10).</span></span></b></span>",MS_Die Lehrkraft ist fair und gerecht zu mir.,set01,sus
rpt_sus_p2,A133A,A13,In diesem Unterricht fühle ich mich wohl.,In diesem Unterricht fühle ich mich wohl.,set01,sus
rpt_all_fz_p2,B221b,B22,"Die Schülerinnen und Schüler können gelegentlich mit außerschulischen Fachleuten arbeiten (z.B. aus Handwerk, Kunst usw.).",SuS können gelegentlich mit außerschulischen Fachleuten arbeiten.,set01,leh
gs_p2,A221,A22,"<span style=""font-size:28px;""><b><span style=""line-height:115%;""><span style=""font-family:Calibri, sans-serif;"">Meine Klassenlehrerin oder mein Klassenlehrer kann auch schwierige Sachen gut erklären. </span></span></b></span>",Die Lehrkraft kann auch schwierige Sachen gut erklären.,set01,sus
rpt_all_p2,A133A,A13,In diesem Unterricht fühle ich mich wohl.,In diesem Unterricht fühle ich mich wohl.,set01,sus
gm_p4,B221b,B22,An unserer Schule finden regelmäßig Veranstaltungen mit außerschulischen Fachleuten statt.,Es finden regelmäßig Veranstaltungen mit außerschulischen Fachleuten statt.,set01,leh
rpt_sus_fz_p2,A134W122,A13,"<span style=""font-size:28px;""><b><span style=""line-height:115%;""><span style=""font-family:Calibri, sans-serif;"">Ich traue mich, im Unterricht Fragen zu stellen, wenn ich etwas nicht verstehe. </span></span></b></span>","GS_Ich traue mich, im Unterricht Fragen zu stellen, wenn ich etwas nicht verstehe.",set01,sus
ms_p1,A635W245b,A63b,Wir arbeiten online mit anderen Schülerinnen und Schülern zusammen.,Wir arbeiten online mit anderen SuS zusammen.,set01,sus
rpt_leh_fb_p1,B132b,B13,Die Räume unserer Schule bieten eine angenehme Lernumgebung.,Die Räume unserer Schule bieten eine angenehme Lernumgebung.,set01,leh
rpt_all_p1,A635W245b,A63b,Wir arbeiten online mit anderen Schülerinnen und Schülern zusammen.,Wir arbeiten online mit anderen SuS zusammen.,set01,sus
rpt_sus_gm_p2,A631B,A63,"Wir besprechen oft, wie man am besten vorgeht, um eine Aufgabe oder ein Thema zu bearbeiten.","MS_Wir besprechen oft, wie man am besten vorgeht, um eine Aufgabe oder ein Thema zu bearbeiten.",set01,sus
rpt_leh_fz_p1,B132b,B13,Die Räume unserer Schule bieten eine angenehme Lernumgebung.,Die Räume unserer Schule bieten eine angenehme Lernumgebung.,set01,leh
rpt_leh_fz_p2,B132b,B13,Die Räume unserer Schule bieten eine angenehme Lernumgebung.,Die Räume unserer Schule bieten eine angenehme Lernumgebung.,set01,leh
rpt_leh_gs_p1,B132b,B13,Die Räume unserer Schule bieten eine angenehme Lernumgebung.,Die Räume unserer Schule bieten eine angenehme Lernumgebung.,set01,leh
rpt_leh_gs_p2,B132b,B13,Die Räume unserer Schule bieten eine angenehme Lernumgebung.,Die Räume unserer Schule bieten eine angenehme Lernumgebung.,set01,leh
